,cash,short_term_investments,accounts_receivable,inventory,ppe_net,total_liabilities,shareholders_equity,operating_cf,capex,dividends,sales,cogs,oibdp,net_income,interest_expense,current_ratio,quick_ratio,debt_to_assets,debt_to_equity,roa,asset_turnover,ocf_to_debt
sales,0.29337778546568605,0.2564530934978986,0.27386665039860675,0.2257787966788439,0.7166496878758609,0.366814974536768,0.7095018361948733,0.4846898305291944,0.7240843712084137,0.6431864325789803,1.0,0.96899210914583,0.7527777791125678,0.39007001336814817,0.2841205103400112,-0.004318322874768208,-0.004237488071540576,-0.006082750414020587,-0.0010055229707388415,0.003714169772748804,-0.0009904270284694478,0.01100869654049821
cogs,0.21169182131532635,0.17804043470538838,0.19052338916167832,0.20527947858253578,0.6770219086015498,0.287641767254223,0.6128979565338771,0.40124182999971986,0.6709748526893105,0.5447835526144993,0.96899210914583,1.0,0.6022557962296928,0.27912566146132683,0.22381847641972505,-0.003973600810841811,-0.003912484230830294,-0.005546817087931681,-0.0011385724871256638,0.00336757624614705,-0.0008083539103956834,0.0031878152384950654
oibdp,0.4368680269614478,0.3900834496558371,0.4460108155497128,0.2554460745855194,0.6620868403980802,0.490893964850406,0.7641239340233781,0.5746710192890787,0.7031367782208333,0.6996835914585912,0.7527777791125678,0.6022557962296928,1.0,0.5895356083128992,0.468959739549934,-0.004071392977618013,-0.0039120777349550195,-0.0052589288649383245,0.00031879617264448865,0.0033537115976852334,-0.0010707644523887286,0.021616064851509607
net_income,0.15208899120751726,0.13336957656483053,0.06285316529270178,0.058134333110326133,0.2724034492359419,0.08260121098888687,0.40703438251434987,0.31078851510425864,0.3388809604666939,0.4022482701018672,0.39007001336814817,0.27912566146132683,0.5895356083128992,1.0,-0.05979985270654939,-0.0014433321172906619,-0.0014045357666429448,-0.00200693708283237,0.0006559460878195234,0.0198969933513419,-0.00032499096782897104,0.024522508057745782
interest_expense,0.611695143231812,0.49785171963295666,0.7935157459587331,0.3321424649739463,0.19048706399779347,0.7839595582430189,0.383935572755653,0.2644497295981044,0.23421978916446093,0.27248782271779176,0.2841205103400112,0.22381847641972505,0.468959739549934,-0.05979985270654939,1.0,-0.005498507679621999,-0.005254887306806323,-0.002858456949250307,0.001528007488575816,0.0019308812287195658,-0.0006739139968056632,-0.00031664048306627804
current_ratio,-0.002559255343243068,-0.0009897164594865047,-0.0037942985302915665,-0.003681921318253602,-0.004409792606624725,-0.004867434881909603,-0.003794035569674718,-0.003806317282200311,-0.003914972462384691,-0.0034166424452488427,-0.004318322874768208,-0.003973600810841811,-0.004071392977618013,-0.0014433321172906619,-0.005498507679621999,1.0,0.9999858981932492,-0.0010464371555356025,-0.00024595379195321366,0.0005485054761568568,-0.005206562567503536,-0.018260974537412513
quick_ratio,-0.0023969171810405607,-0.000876938605443271,-0.0036475484096904548,-0.0038473325743942034,-0.004221405396251207,-0.004651470556555811,-0.003657977737099868,-0.0036480631927879657,-0.003730630006816543,-0.0032776412907456406,-0.004237488071540576,-0.003912484230830294,-0.0039120777349550195,-0.0014045357666429448,-0.005254887306806323,0.9999858981932492,1.0,-0.0009651789165643753,-0.00022888337331880917,0.0005007221984585903,-0.005309922313418915,-0.01862462569923796
debt_to_assets,-0.0023273106082223635,-0.001921537089718525,-0.0022007659204070873,-0.0016605607796501107,-0.0048248197547247915,-0.003002125893029716,-0.005479859910465614,-0.003517601348991961,-0.005019847783580607,-0.00457496510255347,-0.006082750414020587,-0.005546817087931681,-0.0052589288649383245,-0.00200693708283237,-0.002858456949250307,-0.0010464371555356025,-0.0009651789165643753,1.0,-0.00017905066359174814,-0.15927180985260822,-2.557438995995551e-05,-0.00013121819155482038
debt_to_equity,-0.00021334918232534026,2.1212465933329743e-05,0.0006965980679035428,-5.8155201790546784e-05,0.0011601958837945709,0.0005400658244403622,-0.0012906217818779938,-0.0004907039646794208,-8.484916060820096e-05,0.0008990899027628662,-0.0010055229707388415,-0.0011385724871256638,0.00031879617264448865,0.0006559460878195234,0.001528007488575816,-0.00024595379195321366,-0.00022888337331880917,-0.00017905066359174814,1.0,0.00019163844639346665,-6.286579278822828e-05,-3.230466690595188e-05
roa,0.0013909803176638219,0.0010700985044052051,0.0013620217041698777,0.001094480312777297,0.0034204961260179364,0.0014015257278528074,0.00697534660152712,0.002168753483938808,0.003202523041385764,0.002964875124501835,0.003714169772748804,0.00336757624614705,0.0033537115976852334,0.0198969933513419,0.0019308812287195658,0.0005485054761568568,0.0005007221984585903,-0.15927180985260822,0.00019163844639346665,1.0,0.03673920527437893,0.0003610350393627433
asset_turnover,-0.0004723666156837603,-0.0003644999427466582,-0.0004669077957153147,-0.00036549005906849743,-0.0011338025960826864,-0.0005950913921859177,-0.0011328272937026406,-0.01180624455432441,-0.014040420007722536,-0.0009708283013310685,-0.0009904270284694478,-0.0008083539103956834,-0.0010707644523887286,-0.00032499096782897104,-0.0006739139968056632,-0.005206562567503536,-0.005309922313418915,-2.557438995995551e-05,-6.286579278822828e-05,0.03673920527437893,1.0,0.005546437350035661
ocf_to_debt,0.003465276780850947,0.0026215572022924957,0.000540685370848107,0.0002772133806209986,0.002017778971536082,0.0007409407764643548,0.009850806037953633,0.013388633933549868,0.006134185800867361,0.01878298184025748,0.01100869654049821,0.0031878152384950654,0.021616064851509607,0.024522508057745782,-0.00031664048306627804,-0.018260974537412513,-0.01862462569923796,-0.00013121819155482038,-3.230466690595188e-05,0.0003610350393627433,0.005546437350035661,1.0
