This file was created using the 202510 CRSP database.
It contains value- and equal-weighted returns for 10 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
  1964,  16.93,  15.58,  19.83,  24.38,   4.39,  25.26,  22.48,  17.59,  16.92,  20.07
  1965,  27.65,  55.13,  40.70,  27.76,  70.66,  39.00,  29.26,  37.01,   3.44,  34.82
  1966, -15.61, -10.06,  -4.98,   6.31,   1.82,  -1.26, -11.77,   0.84,  -7.27,  -6.66
  1967,  77.93,  94.33,  77.70,  85.06, 106.73,  33.44,  94.81,  46.68,   5.26,  89.83
  1968,  51.64,  42.99,  32.79,  53.02,  13.84,  32.96,  69.18,  12.60,  17.76,  62.55
  1969, -29.47, -28.91, -27.78, -26.61, -28.13, -13.08, -22.63,  12.10, -14.56, -28.50
  1970,  -0.52, -14.36, -12.08,   4.98, -34.54,  -6.83, -11.70, -14.96,  17.80, -13.76
  1971,  19.77,  30.69,  16.63,   8.14,  21.02,  27.63,  27.45,  28.83,   4.90,  21.27
  1972,  -1.79,  10.91,   9.89,  19.64,   9.71,  13.20,  -6.95,   5.36,  11.39,  -0.54
  1973, -42.35, -50.52, -31.06,  11.20, -37.97, -45.00, -49.17, -39.37, -15.83, -38.35
  1974, -23.09, -27.40, -15.48, -17.68, -36.41, -22.94, -26.22, -24.39, -17.95, -28.19
  1975,  80.97,  83.80,  61.93,  39.78,  82.23,  84.47,  87.80,  53.48,  48.79,  54.87
  1976,  36.57,  58.39,  53.35,  62.69,  61.27,  53.60,  40.94,  37.64,  36.69,  51.29
  1977,  18.35,   8.66,  17.91,  31.59,  31.15,  35.56,  18.83,  29.87,  11.72,  28.62
  1978,  22.80,  19.40,  25.21,   6.21,  49.80,  34.67,  21.79,  35.51,  -1.03,  28.95
  1979,  22.69,  18.66,  40.82, 149.03,  57.40,  52.88,  27.97,  39.08,  17.69,  38.35
  1980,  23.85,  27.81,  33.76,  99.26,  73.42,  35.44,  26.49,  58.87,  16.13,  41.86
  1981,  16.59,   8.37,  -0.02, -36.28,  -9.27,  19.16,  10.56,   4.50,  12.96,   3.43
  1982,  42.79,  37.47,  21.35, -42.02,  41.27,  33.47,  48.03,  52.62,  27.81,  28.90
  1983,  45.00,  47.67,  40.10,  23.16,  30.14,  20.68,  48.95,  16.41,  25.59,  40.86
  1984,  -0.71,  -9.29,  -5.94, -24.50, -25.98,  -8.18, -11.55, -15.31,  21.65,  -7.82
  1985,  35.34,  16.18,  22.37, -12.51,  13.92,  41.15,  24.35,  34.75,  35.33,  36.48
  1986,  19.26,   8.24,   6.05, -16.86,  -3.19,  10.28,   8.51,   4.67,  29.52,  11.97
  1987,  -9.89,  -9.90,  -0.96,  20.00, -13.15,  15.58, -20.02, -19.36,  -7.09, -10.89
  1988,  22.78,  26.35,  27.77,   7.68,  14.47,  34.30,  29.78,  24.02,  21.97,  14.65
  1989,  16.08,   4.53,  12.53,  35.73,   4.32,  40.65,   6.34,  14.52,  27.69,   7.14
  1990, -23.41, -36.01, -18.39,  -2.86, -20.65, -30.37, -25.47,  -2.65,  -2.21, -30.69
  1991,  41.91,  56.93,  43.27,   8.22,  69.10,  38.33,  55.46, 154.60,  23.79,  44.57
  1992,  18.32,  34.01,  24.68,  15.73,  31.92,  16.79,  31.75,   7.93,  14.02,  44.91
  1993,  17.65,  37.16,  27.76,  29.12,  27.62,  81.99,  18.94,  -3.10,  15.76,  31.82
  1994,  -6.23, -11.64,   3.82,   1.76,   8.19, -10.02, -13.96, -13.59,  -9.54,  -4.04
  1995,  12.88,   5.41,  18.21,  17.52,  54.61,  29.78,   9.11,  69.01,  27.65,  35.63
  1996,   8.67,  26.80,  20.13,  64.71,  13.47,  -0.33,  14.48,  13.13,  13.47,  20.35
  1997,  14.89,  16.11,  24.49,  15.85,   8.98,  30.10,  12.70,   3.20,  29.61,  38.78
  1998,  -4.28,   4.65, -13.83, -47.47,   6.98,  18.93,   6.40, -12.52,   9.84,  -3.97
  1999,  -3.63,  10.26,  11.45,  24.50, 129.72, 132.02,   6.50,  44.35,   0.97,   8.05
  2000,  -4.06, -16.38,  -4.80,  89.78, -38.93, -53.42, -25.31,  29.92,  42.88,  -3.29
  2001,  28.63,  28.33,  12.40, -11.81,  14.56,  -6.10,  49.46,  45.69,  -0.81,  30.14
  2002,   4.15,  -5.37,  -9.35,  -8.76, -29.57, -38.27,  -8.55, -32.86, -12.97,   2.37
  2003,  40.45,  46.67,  57.54,  79.75, 115.92,  77.37,  62.32, 115.40,  28.40,  59.18
  2004,  23.34,   4.97,  32.63,  50.55,  11.93,   5.41,  26.36,  15.62,  20.50,  23.63
  2005,   1.42, -15.69,   6.50,  65.91,  -2.27, -15.60,   9.25,  -3.92,  12.51,   6.00
  2006,  20.54,  16.97,  25.51,   7.44,  12.37,  19.42,  17.57,  11.29,  22.07,  17.11
  2007,  -9.55, -12.21,   7.11,   8.23,   0.78, -10.38, -14.47,  -4.42,  11.93, -16.74
  2008, -42.64, -63.35, -49.74, -54.46, -49.86, -57.16, -45.98, -40.37, -20.72, -41.32
  2009,  77.26, 128.29,  68.12,  65.15,  92.81, 121.55, 102.00,  99.46,  18.95,  26.21
  2010,  27.33,  34.11,  38.30,  37.18,  34.06,  34.57,  31.73,  21.18,  13.23,  21.11
  2011,  -8.56, -21.75,  -9.90,  -7.82, -14.20,  -7.57,  -0.72, -10.57,  18.25, -10.14
  2012,  29.73,  20.25,  17.48, -11.53,   9.83,  18.76,  19.66,  24.99,   6.11,  26.10
  2013,  44.01,  54.13,  47.06,  20.33,  47.29,  71.44,  39.19,  57.31,  20.96,  42.03
  2014,  12.25,   7.68,  -0.36, -38.46,   3.11,  -5.60,   1.20,  14.13,  21.87,   7.74
  2015,  -1.46, -10.41, -16.68, -46.56,  -4.99,   3.99, -11.88,   2.59,  -6.19,  -2.95
  2016,  17.54,  28.39,  30.61,  31.86,  17.62,  14.44,  11.00, -11.92,  32.64,  30.76
  2017,  12.57,  14.12,  18.49, -13.03,  26.60,  12.96,   2.01,  24.05,  11.76,  15.13
  2018,  -8.11, -27.34, -20.80, -37.98,  -5.74, -15.04, -11.32, -22.61,   2.88, -13.86
  2019,  16.05,  24.98,  21.65, -18.84,  30.49,   7.60,  15.37,  25.35,  20.84,  25.42
  2020,  21.25,  88.37,  36.36, -29.12,  73.91,  26.82,  39.26,  63.02,   0.05,  12.64
  2021,  21.60,  24.95,  28.91,  98.16,  18.09,  29.78,  46.45, -11.35,  23.06,  33.11
  2022, -30.38, -35.35, -20.35,  59.07, -38.52, -33.38, -25.37, -42.27,   7.76, -16.83
  2023,  -2.83,  -3.91,  14.71,  -4.30,  17.01,   3.51,  14.12,   0.90,  -1.14,  10.57
  2024,   0.04, -16.83,  16.51,   0.82,  20.13,   6.26,   7.59,  -6.96,  20.84,  10.19


  Number of Firms in Portfolios
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
192607,     90,     38,    127,     51,     18,      5,     41,      7,     21,    113
192608,     90,     37,    127,     51,     18,      5,     41,      7,     21,    113
192609,     90,     37,    127,     51,     18,      5,     41,      7,     21,    113
192610,     90,     37,    127,     50,     18,      5,     41,      7,     21,    113
192611,     90,     37,    127,     50,     18,      5,     41,      7,     21,    113
192612,     90,     37,    127,     50,     18,      5,     41,      7,     21,    113
192701,     89,     37,    127,     50,     18,      5,     41,      7,     21,    112
192702,     89,     37,    127,     49,     18,      5,     41,      7,     21,    112
192703,     87,     37,    127,     49,     18,      5,     41,      7,     21,    111
192704,     87,     37,    127,     49,     18,      5,     41,      7,     21,    111
192705,     87,     37,    127,     49,     18,      4,     41,      7,     21,    110
192706,     87,     37,    127,     49,     18,      4,     41,      7,     21,    110
192707,     98,     43,    129,     55,     19,      5,     46,      7,     23,    122
192708,     98,     43,    129,     55,     19,      5,     46,      7,     23,    122
192709,     98,     43,    128,     55,     19,      5,     46,      7,     23,    122
192710,     98,     43,    128,     55,     19,      5,     46,      7,     23,    122
192711,     98,     43,    128,     55,     19,      5,     46,      7,     23,    122
192712,     97,     43,    126,     55,     18,      5,     46,      7,     23,    122
192801,     97,     43,    126,     55,     18,      5,     46,      7,     23,    122
192802,     96,     43,    126,     55,     18,      5,     46,      7,     23,    122
192803,     96,     43,    126,     55,     18,      5,     46,      7,     23,    122
192804,     96,     43,    125,     55,     18,      5,     46,      6,     22,    122
192805,     96,     43,    125,     55,     18,      5,     46,      6,     22,    122
192806,     96,     43,    125,     55,     18,      4,     46,      6,     22,    122
192807,    105,     46,    139,     56,     19,      4,     51,      6,     23,    122
192808,    105,     45,    139,     56,     19,      4,     51,      6,     23,    122
192809,    105,     44,    139,     56,     19,      4,     51,      6,     23,    122
192810,    105,     44,    139,     56,     19,      4,     51,      6,     23,    122
192811,    105,     44,    139,     56,     19,      4,     51,      6,     23,    121
192812,    105,     44,    139,     56,     19,      4,     51,      6,     23,    121
192901,    104,     44,    139,     56,     19,      4,     51,      6,     23,    121
192902,    103,     43,    139,     56,     19,      4,     51,      5,     23,    120
192903,    103,     43,    139,     56,     19,      4,     51,      5,     23,    120
192904,    103,     43,    139,     56,     18,      4,     51,      5,     23,    120
192905,    103,     43,    139,     56,     18,      4,     51,      5,     23,    120
192906,    102,     43,    139,     56,     18,      4,     51,      5,     22,    120
192907,    123,     50,    170,     61,     20,      4,     60,      6,     23,    133
192908,    122,     50,    169,     61,     20,      4,     60,      6,     23,    133
192909,    122,     50,    168,     61,     20,      4,     60,      6,     23,    133
192910,    122,     50,    168,     61,     20,      4,     60,      6,     23,    132
192911,    121,     50,    168,     60,     20,      4,     60,      6,     22,    131
192912,    121,     50,    168,     60,     20,      4,     60,      6,     22,    131
193001,    120,     50,    168,     60,     20,      4,     60,      6,     22,    130
193002,    120,     50,    168,     59,     20,      4,     60,      6,     22,    129
193003,    119,     49,    168,     59,     20,      4,     60,      6,     22,    129
193004,    119,     49,    167,     59,     20,      4,     60,      5,     22,    129
193005,    118,     49,    166,     58,     20,      4,     60,      5,     22,    128
193006,    118,     49,    165,     58,     20,      4,     60,      5,     22,    128
193007,    117,     53,    197,     59,     27,      4,     70,      5,     23,    144
193008,    117,     53,    196,     59,     27,      4,     70,      5,     23,    144
193009,    117,     53,    196,     58,     27,      4,     70,      5,     23,    144
193010,    117,     53,    196,     57,     27,      4,     70,      5,     23,    144
193011,    117,     53,    195,     56,     27,      4,     70,      5,     23,    144
193012,    117,     52,    195,     56,     27,      4,     70,      5,     23,    144
193101,    117,     52,    195,     56,     27,      4,     70,      5,     23,    144
193102,    117,     52,    194,     56,     27,      4,     70,      5,     23,    143
193103,    117,     52,    192,     56,     27,      4,     70,      5,     23,    143
193104,    116,     52,    192,     56,     27,      4,     70,      5,     23,    142
193105,    116,     52,    192,     56,     26,      4,     70,      5,     23,    142
193106,    116,     51,    192,     56,     26,      4,     70,      5,     23,    142
193107,    119,     51,    204,     57,     26,      4,     73,      6,     23,    142
193108,    119,     51,    204,     57,     26,      4,     72,      6,     23,    142
193109,    119,     51,    204,     57,     26,      4,     72,      6,     23,    141
193110,    119,     51,    204,     57,     26,      4,     72,      6,     22,    141
193111,    118,     51,    203,     57,     26,      4,     72,      6,     22,    140
193112,    118,     51,    203,     57,     26,      4,     72,      6,     22,    140
193201,    118,     50,    201,     57,     26,      4,     72,      6,     22,    139
193202,    118,     50,    201,     57,     26,      4,     72,      6,     22,    139
193203,    118,     50,    201,     57,     26,      4,     72,      6,     22,    139
193204,    117,     50,    200,     57,     26,      4,     71,      6,     22,    139
193205,    116,     50,    200,     56,     26,      4,     71,      6,     22,    135
193206,    115,     50,    200,     55,     26,      4,     71,      6,     22,    135
193207,    113,     51,    203,     54,     25,      4,     69,      6,     22,    134
193208,    113,     51,    203,     54,     25,      4,     69,      6,     22,    134
193209,    112,     50,    203,     54,     25,      4,     69,      6,     22,    134
193210,    111,     50,    203,     53,     25,      4,     69,      6,     22,    134
193211,    111,     50,    203,     53,     25,      4,     69,      6,     22,    134
193212,    110,     50,    203,     53,     25,      4,     69,      6,     22,    134
193301,    108,     50,    202,     53,     25,      4,     69,      6,     22,    133
193302,    108,     50,    202,     53,     25,      4,     69,      6,     22,    133
193303,    108,     50,    202,     53,     25,      4,     68,      6,     22,    133
193304,    108,     49,    201,     53,     25,      4,     68,      6,     22,    133
193305,    108,     49,    201,     53,     25,      4,     68,      6,     22,    133
193306,    108,     49,    199,     53,     25,      4,     68,      6,     22,    133
193307,    109,     47,    201,     54,     27,      4,     66,      6,     22,    139
193308,    109,     47,    201,     54,     27,      4,     66,      6,     22,    139
193309,    109,     47,    201,     54,     27,      4,     66,      6,     21,    139
193310,    109,     47,    201,     54,     27,      4,     66,      6,     21,    138
193311,    109,     47,    201,     54,     27,      4,     66,      6,     21,    138
193312,    109,     47,    201,     54,     27,      4,     66,      6,     21,    138
193401,    109,     47,    201,     54,     26,      4,     66,      6,     21,    138
193402,    109,     47,    201,     54,     26,      4,     66,      6,     21,    137
193403,    109,     47,    201,     54,     26,      4,     66,      6,     21,    137
193404,    109,     47,    201,     54,     26,      4,     66,      6,     21,    137
193405,    109,     47,    201,     54,     26,      4,     66,      6,     21,    137
193406,    109,     47,    200,     53,     26,      4,     66,      6,     21,    137
193407,    112,     47,    200,     54,     27,      4,     68,      9,     21,    143
193408,    111,     47,    200,     54,     27,      4,     68,      9,     21,    143
193409,    111,     47,    200,     54,     27,      4,     68,      9,     21,    143
193410,    111,     47,    200,     54,     27,      4,     68,      9,     21,    143
193411,    111,     47,    199,     54,     27,      4,     68,      9,     21,    139
193412,    111,     47,    198,     54,     27,      4,     68,      9,     21,    139
193501,    111,     47,    198,     54,     27,      4,     68,      9,     21,    139
193502,    111,     47,    198,     54,     27,      4,     68,      9,     21,    138
193503,    111,     45,    198,     54,     27,      4,     68,      9,     21,    138
193504,    111,     45,    198,     54,     27,      4,     68,      9,     21,    138
193505,    111,     44,    198,     54,     27,      4,     68,      9,     21,    138
193506,    111,     44,    198,     54,     26,      4,     68,      9,     21,    137
193507,    112,     46,    201,     55,     26,      4,     69,      9,     21,    142
193508,    109,     46,    200,     54,     26,      4,     69,      9,     21,    140
193509,    109,     46,    199,     54,     26,      4,     69,      9,     21,    140
193510,    108,     46,    199,     54,     26,      4,     69,      9,     21,    138
193511,    108,     46,    199,     54,     26,      4,     69,      9,     21,    138
193512,    108,     46,    199,     54,     26,      4,     69,      9,     21,    138
193601,    108,     46,    199,     53,     26,      4,     69,      9,     21,    138
193602,    108,     46,    199,     53,     26,      4,     69,      9,     21,    138
193603,    108,     46,    199,     52,     26,      4,     69,      9,     21,    138
193604,    107,     46,    199,     52,     26,      4,     68,      9,     21,    138
193605,    107,     46,    198,     52,     26,      4,     68,      9,     21,    138
193606,    107,     46,    198,     52,     26,      4,     67,      9,     21,    138
193607,    119,     49,    211,     54,     27,      4,     70,     10,     21,    144
193608,    119,     49,    211,     54,     27,      4,     70,     10,     21,    144
193609,    119,     49,    210,     54,     27,      4,     70,     10,     21,    143
193610,    119,     49,    210,     54,     27,      4,     70,     10,     21,    143
193611,    119,     49,    209,     53,     27,      4,     70,     10,     21,    142
193612,    119,     49,    209,     53,     27,      4,     70,     10,     21,    142
193701,    119,     49,    209,     52,     27,      4,     70,     10,     21,    142
193702,    119,     48,    209,     52,     27,      4,     70,     10,     21,    139
193703,    119,     48,    209,     52,     27,      4,     70,     10,     21,    139
193704,    119,     48,    209,     51,     27,      4,     70,     10,     21,    139
193705,    119,     48,    207,     51,     27,      4,     70,     10,     21,    139
193706,    119,     48,    207,     51,     27,      4,     70,     10,     21,    139
193707,    124,     52,    226,     53,     30,      4,     74,     12,     22,    146
193708,    124,     52,    226,     53,     30,      4,     74,     12,     22,    146
193709,    124,     52,    226,     53,     30,      4,     74,     12,     22,    146
193710,    124,     52,    226,     52,     30,      4,     74,     12,     22,    146
193711,    124,     52,    226,     52,     30,      4,     74,     12,     22,    146
193712,    124,     52,    226,     52,     30,      4,     74,     12,     22,    146
193801,    124,     52,    226,     52,     30,      4,     74,     12,     22,    146
193802,    124,     52,    226,     52,     30,      4,     74,     12,     22,    146
193803,    124,     52,    226,     52,     30,      4,     74,     12,     22,    146
193804,    124,     52,    226,     52,     30,      4,     74,     12,     22,    146
193805,    124,     52,    226,     52,     30,      4,     74,     12,     22,    145
193806,    124,     52,    225,     52,     30,      4,     73,     12,     22,    144
193807,    126,     53,    239,     54,     30,      5,     74,     12,     23,    149
193808,    126,     53,    237,     54,     30,      5,     74,     12,     23,    149
193809,    125,     53,    236,     54,     30,      5,     73,     12,     23,    148
193810,    125,     53,    236,     54,     30,      5,     73,     12,     23,    148
193811,    125,     53,    236,     54,     30,      5,     73,     12,     23,    147
193812,    125,     53,    236,     54,     30,      5,     73,     12,     23,    146
193901,    125,     53,    236,     53,     30,      5,     72,     12,     23,    143
193902,    125,     53,    236,     53,     30,      5,     72,     12,     23,    143
193903,    125,     53,    236,     53,     30,      5,     72,     12,     23,    143
193904,    125,     53,    236,     53,     30,      5,     72,     12,     23,    143
193905,    125,     53,    236,     53,     30,      5,     72,     12,     23,    142
193906,    125,     53,    236,     53,     30,      5,     72,     12,     23,    142
193907,    125,     53,    239,     53,     30,      6,     73,     12,     23,    141
193908,    124,     53,    239,     52,     30,      6,     73,     12,     23,    140
193909,    124,     53,    239,     52,     30,      6,     73,     12,     23,    138
193910,    124,     53,    238,     52,     30,      6,     73,     12,     23,    136
193911,    124,     53,    238,     52,     30,      6,     73,     12,     23,    135
193912,    124,     53,    238,     52,     30,      6,     73,     12,     23,    134
194001,    124,     53,    238,     52,     30,      6,     73,     12,     23,    134
194002,    124,     53,    238,     51,     30,      6,     73,     12,     23,    134
194003,    124,     53,    238,     51,     30,      6,     73,     12,     23,    134
194004,    124,     53,    238,     51,     30,      6,     73,     12,     23,    134
194005,    124,     53,    238,     51,     30,      6,     73,     12,     23,    134
194006,    123,     52,    238,     51,     30,      6,     73,     12,     23,    134
194007,    125,     55,    247,     51,     30,      6,     74,     13,     24,    140
194008,    125,     55,    247,     51,     30,      6,     74,     13,     24,    140
194009,    124,     55,    247,     51,     30,      6,     74,     13,     24,    139
194010,    124,     55,    247,     51,     30,      6,     74,     13,     24,    137
194011,    124,     55,    247,     51,     30,      6,     74,     13,     24,    136
194012,    124,     55,    247,     51,     30,      6,     74,     13,     24,    136
194101,    123,     54,    247,     50,     30,      6,     74,     13,     24,    136
194102,    123,     54,    247,     50,     30,      6,     74,     13,     24,    136
194103,    123,     54,    247,     49,     30,      6,     74,     13,     24,    136
194104,    123,     54,    247,     49,     30,      6,     74,     13,     24,    136
194105,    123,     54,    247,     49,     30,      6,     74,     13,     24,    136
194106,    123,     54,    247,     49,     30,      6,     74,     13,     24,    136
194107,    124,     54,    254,     50,     31,      7,     75,     13,     27,    140
194108,    124,     54,    254,     50,     31,      7,     75,     13,     27,    140
194109,    124,     54,    254,     50,     31,      7,     75,     13,     27,    139
194110,    124,     54,    254,     50,     31,      7,     75,     13,     27,    139
194111,    124,     54,    254,     50,     31,      7,     75,     13,     27,    139
194112,    124,     54,    254,     50,     31,      7,     75,     13,     27,    138
194201,    124,     54,    254,     50,     31,      7,     75,     13,     27,    138
194202,    124,     54,    254,     50,     31,      7,     75,     13,     27,    138
194203,    124,     54,    254,     50,     31,      7,     75,     13,     27,    138
194204,    124,     53,    254,     50,     31,      7,     75,     13,     27,    138
194205,    124,     53,    254,     50,     31,      7,     75,     13,     27,    138
194206,    124,     53,    254,     50,     31,      7,     75,     13,     27,    138
194207,    124,     55,    260,     50,     32,      7,     74,     14,     27,    141
194208,    124,     55,    259,     50,     32,      7,     74,     14,     27,    140
194209,    124,     55,    259,     50,     32,      7,     74,     14,     27,    140
194210,    124,     55,    259,     50,     32,      7,     74,     14,     27,    140
194211,    124,     55,    259,     50,     32,      7,     73,     14,     27,    140
194212,    124,     55,    259,     50,     32,      7,     73,     14,     27,    140
194301,    124,     55,    259,     49,     32,      7,     73,     14,     27,    140
194302,    124,     55,    259,     49,     32,      7,     73,     14,     27,    140
194303,    124,     55,    258,     49,     32,      7,     73,     14,     27,    140
194304,    124,     55,    257,     49,     32,      7,     73,     14,     27,    140
194305,    124,     55,    257,     48,     32,      7,     73,     14,     27,    140
194306,    124,     55,    257,     48,     32,      7,     73,     14,     27,    140
194307,    126,     56,    257,     49,     33,      7,     73,     14,     27,    139
194308,    125,     56,    257,     49,     33,      7,     73,     14,     27,    139
194309,    125,     56,    257,     49,     33,      7,     73,     14,     27,    139
194310,    125,     56,    257,     49,     33,      7,     73,     14,     27,    139
194311,    125,     56,    257,     48,     33,      7,     73,     14,     27,    139
194312,    125,     56,    257,     47,     33,      7,     73,     14,     27,    139
194401,    125,     56,    257,     47,     33,      7,     73,     14,     27,    137
194402,    125,     56,    257,     46,     33,      7,     73,     14,     27,    135
194403,    125,     56,    257,     46,     33,      7,     73,     14,     27,    134
194404,    125,     56,    257,     46,     33,      7,     73,     14,     27,    134
194405,    125,     56,    257,     46,     33,      7,     73,     14,     27,    134
194406,    125,     56,    257,     46,     33,      7,     73,     14,     26,    134
194407,    127,     56,    267,     48,     36,      7,     74,     15,     30,    138
194408,    127,     56,    267,     48,     36,      7,     74,     15,     30,    137
194409,    127,     56,    267,     48,     36,      7,     74,     15,     30,    137
194410,    127,     56,    267,     48,     36,      7,     73,     15,     30,    137
194411,    126,     56,    267,     48,     36,      7,     73,     15,     30,    136
194412,    126,     56,    267,     48,     36,      7,     73,     15,     30,    136
194501,    126,     56,    267,     48,     36,      7,     73,     15,     30,    135
194502,    126,     55,    267,     48,     36,      7,     73,     15,     30,    135
194503,    126,     55,    267,     48,     36,      7,     73,     15,     30,    135
194504,    126,     55,    267,     48,     36,      7,     73,     15,     30,    135
194505,    126,     55,    267,     48,     36,      7,     73,     15,     30,    135
194506,    126,     55,    267,     48,     36,      7,     73,     15,     30,    135
194507,    131,     56,    273,     49,     39,      7,     79,     16,     31,    140
194508,    131,     56,    273,     49,     39,      7,     79,     16,     31,    140
194509,    131,     56,    273,     49,     39,      7,     79,     16,     31,    140
194510,    131,     56,    273,     49,     39,      7,     79,     16,     31,    140
194511,    130,     56,    273,     49,     39,      7,     79,     16,     31,    140
194512,    130,     56,    273,     48,     39,      7,     79,     16,     31,    139
194601,    130,     56,    273,     48,     39,      7,     79,     16,     31,    139
194602,    130,     56,    272,     48,     39,      7,     79,     16,     31,    139
194603,    129,     56,    272,     48,     39,      7,     79,     16,     31,    139
194604,    129,     56,    272,     48,     39,      7,     79,     16,     31,    139
194605,    129,     56,    272,     48,     39,      7,     79,     16,     31,    139
194606,    129,     56,    272,     48,     39,      7,     79,     16,     31,    139
194607,    138,     57,    288,     50,     41,      7,     79,     18,     36,    144
194608,    138,     57,    288,     50,     41,      7,     79,     18,     36,    144
194609,    138,     57,    288,     50,     41,      7,     78,     18,     36,    144
194610,    138,     57,    288,     50,     41,      7,     78,     18,     36,    144
194611,    138,     57,    288,     50,     41,      7,     77,     18,     36,    144
194612,    138,     57,    288,     50,     40,      7,     77,     18,     36,    144
194701,    138,     57,    288,     50,     40,      7,     77,     18,     36,    144
194702,    138,     57,    288,     50,     40,      7,     77,     18,     36,    144
194703,    138,     57,    288,     50,     40,      7,     77,     18,     36,    144
194704,    138,     57,    288,     50,     40,      7,     77,     18,     36,    144
194705,    138,     57,    288,     50,     40,      7,     77,     18,     36,    144
194706,    138,     57,    288,     50,     40,      7,     77,     18,     36,    144
194707,    147,     58,    297,     51,     43,      7,     84,     18,     48,    148
194708,    147,     58,    297,     51,     43,      7,     84,     18,     47,    148
194709,    147,     58,    297,     51,     43,      7,     84,     18,     47,    148
194710,    147,     58,    297,     51,     43,      7,     84,     18,     47,    148
194711,    147,     58,    297,     51,     43,      7,     84,     18,     46,    148
194712,    147,     58,    297,     51,     43,      7,     84,     18,     46,    148
194801,    147,     58,    297,     51,     43,      7,     84,     18,     46,    148
194802,    147,     58,    297,     51,     43,      7,     84,     18,     46,    148
194803,    147,     58,    297,     51,     43,      7,     84,     18,     46,    148
194804,    147,     58,    297,     51,     43,      7,     84,     18,     46,    148
194805,    147,     58,    297,     51,     43,      7,     84,     18,     46,    148
194806,    147,     58,    297,     51,     43,      7,     84,     18,     46,    148
194807,    152,     63,    307,     53,     44,      7,     85,     18,     53,    156
194808,    152,     63,    307,     53,     44,      7,     85,     18,     52,    156
194809,    152,     63,    307,     53,     44,      7,     85,     18,     52,    156
194810,    152,     63,    306,     53,     44,      7,     85,     18,     52,    156
194811,    152,     63,    306,     53,     44,      7,     85,     18,     52,    156
194812,    152,     63,    306,     53,     44,      7,     85,     18,     52,    156
194901,    152,     63,    306,     53,     44,      7,     85,     18,     52,    156
194902,    152,     63,    306,     53,     44,      7,     85,     18,     52,    156
194903,    152,     63,    306,     53,     44,      7,     85,     18,     52,    156
194904,    152,     63,    306,     53,     44,      7,     85,     18,     52,    156
194905,    152,     63,    306,     53,     44,      7,     85,     18,     52,    156
194906,    152,     63,    306,     53,     44,      7,     85,     18,     52,    156
194907,    153,     64,    313,     55,     45,      8,     87,     18,     58,    160
194908,    153,     64,    313,     55,     45,      8,     87,     18,     57,    160
194909,    153,     64,    313,     55,     45,      8,     87,     18,     57,    160
194910,    153,     64,    313,     55,     45,      8,     87,     18,     57,    160
194911,    153,     64,    313,     55,     45,      8,     87,     18,     57,    160
194912,    153,     64,    313,     55,     45,      8,     87,     18,     57,    160
195001,    153,     64,    313,     55,     45,      8,     87,     18,     57,    159
195002,    153,     64,    313,     55,     45,      8,     85,     18,     57,    159
195003,    153,     64,    313,     55,     45,      8,     85,     18,     57,    159
195004,    153,     64,    313,     55,     45,      8,     85,     18,     57,    159
195005,    153,     64,    313,     55,     45,      8,     85,     18,     57,    159
195006,    153,     64,    313,     55,     44,      8,     85,     18,     57,    159
195007,    153,     65,    314,     57,     44,      8,     85,     18,     73,    161
195008,    153,     65,    313,     57,     44,      8,     85,     18,     73,    161
195009,    153,     65,    313,     57,     44,      8,     85,     18,     73,    161
195010,    153,     65,    313,     57,     44,      8,     85,     18,     73,    161
195011,    153,     65,    313,     57,     44,      8,     85,     18,     73,    161
195012,    153,     65,    313,     57,     44,      8,     85,     18,     73,    161
195101,    153,     64,    312,     57,     44,      8,     85,     18,     73,    161
195102,    153,     64,    312,     57,     44,      8,     85,     18,     73,    160
195103,    153,     64,    312,     57,     44,      8,     85,     18,     73,    160
195104,    153,     64,    312,     57,     44,      8,     85,     18,     73,    160
195105,    153,     64,    312,     57,     44,      8,     85,     18,     73,    160
195106,    153,     64,    312,     57,     44,      8,     85,     18,     73,    160
195107,    156,     65,    318,     59,     46,      8,     86,     19,     85,    163
195108,    156,     65,    318,     59,     46,      8,     86,     19,     85,    163
195109,    155,     65,    318,     59,     46,      8,     86,     19,     85,    163
195110,    155,     65,    317,     59,     46,      8,     86,     19,     85,    163
195111,    155,     65,    317,     59,     46,      8,     86,     19,     85,    163
195112,    155,     65,    316,     59,     46,      8,     86,     19,     84,    163
195201,    155,     65,    316,     59,     46,      8,     86,     19,     84,    163
195202,    155,     65,    316,     59,     46,      8,     86,     19,     84,    163
195203,    155,     65,    316,     59,     46,      8,     86,     19,     84,    163
195204,    155,     65,    316,     59,     46,      8,     86,     19,     84,    162
195205,    154,     65,    316,     59,     46,      8,     86,     19,     84,    162
195206,    154,     65,    316,     59,     46,      8,     86,     19,     84,    162
195207,    156,     66,    323,     60,     49,      8,     87,     19,     84,    162
195208,    156,     66,    323,     60,     49,      8,     87,     19,     84,    162
195209,    156,     66,    323,     60,     49,      8,     87,     19,     84,    162
