Date,Asset,Quartile,MeanBeta,ExcessReturn,WeightType
2023-06-30,EQUITY,1,0.052949157,-0.032508465814949594,Equal
2023-06-30,EQUITY,2,0.062006924,0.1222468092853678,Equal
2023-06-30,EQUITY,3,0.071911305,0.9281360919754548,Equal
2023-06-30,EQUITY,4,0.082763776,0.04879007064496366,Equal
2023-06-30,EQUITY,Q4-Q1,0.029814619,0.08129853645991325,Equal
2023-07-31,EQUITY,1,0.01951548,-0.07696525379553723,Equal
2023-07-31,EQUITY,2,0.027515944,-0.2449218741222208,Equal
2023-07-31,EQUITY,3,0.038282607,-0.07684082231867631,Equal
2023-07-31,EQUITY,4,0.07247159,-0.20151016468036811,Equal
2023-07-31,EQUITY,Q4-Q1,0.05295611,-0.12454491088483088,Equal
2023-08-31,EQUITY,1,0.06857799,-0.09903166725428819,Equal
2023-08-31,EQUITY,2,0.07027292,-0.0995981448290511,Equal
2023-08-31,EQUITY,3,0.106364414,-0.34708219609250773,Equal
2023-08-31,EQUITY,4,0.16348583,-0.15627807162092539,Equal
2023-08-31,EQUITY,Q4-Q1,0.09490784,-0.057246404366637194,Equal
2023-10-31,EQUITY,1,-0.026867144,0.07723616872823494,Equal
2023-10-31,EQUITY,2,0.03242715,0.0730490872852946,Equal
2023-10-31,EQUITY,3,0.0396217,0.11255862120551266,Equal
2023-10-31,EQUITY,4,0.058700714,0.2807713676862055,Equal
2023-10-31,EQUITY,Q4-Q1,0.085567858,0.20353519895797054,Equal
2023-11-30,EQUITY,1,0.020372089,-0.07996454164715806,Equal
2023-11-30,EQUITY,2,0.059631262,-0.1893863502465999,Equal
2023-11-30,EQUITY,3,0.061327357,-0.003072992767146579,Equal
2023-11-30,EQUITY,4,0.08287762,0.0352713207200127,Equal
2023-11-30,EQUITY,Q4-Q1,0.062505531,0.11523586236717076,Equal
2023-01-31,GOLD,1,0.018946823,0.3005324576133699,Equal
2023-01-31,GOLD,2,0.028938983,0.2763935208752173,Equal
2023-01-31,GOLD,3,0.040707495,0.3179892804767652,Equal
2023-01-31,GOLD,4,0.0438168,0.2646838819286108,Equal
2023-01-31,GOLD,Q4-Q1,0.024869977,-0.035848575684759076,Equal
2023-02-28,GOLD,1,0.019212086,0.05061859470805086,Equal
2023-02-28,GOLD,2,0.032385815,0.06254298701802341,Equal
2023-02-28,GOLD,3,0.033402506,0.038556275611164814,Equal
2023-02-28,GOLD,4,0.03422134,0.04722024159151594,Equal
2023-02-28,GOLD,Q4-Q1,0.015009254000000003,-0.0033983531165349135,Equal
2023-03-31,GOLD,1,-0.0021204837,0.16772215715295236,Equal
2023-03-31,GOLD,2,0.0018573143,-0.08660967546024523,Equal
2023-03-31,GOLD,3,0.0051335283,0.08680334782526611,Equal
2023-03-31,GOLD,4,0.0059782118,-0.09918289085072818,Equal
2023-03-31,GOLD,Q4-Q1,0.0080986955,-0.26690504800368053,Equal
2023-05-31,GOLD,1,-0.059508998,0.04118366436868026,Equal
2023-05-31,GOLD,2,-0.054509025,-0.020402379373892998,Equal
2023-05-31,GOLD,3,-0.038955126,0.01865767524237949,Equal
2023-05-31,GOLD,4,-0.025131784,-0.0557656426348192,Equal
2023-05-31,GOLD,Q4-Q1,0.034377214,-0.09694930700349946,Equal
2023-06-30,GOLD,1,-0.035064228,0.2125377450106054,Equal
2023-06-30,GOLD,2,-0.034753144,0.057782469910288015,Equal
2023-06-30,GOLD,3,-0.025282416,1.0184270277006924,Equal
2023-06-30,GOLD,4,-0.004984297,0.13908100637020127,Equal
2023-06-30,GOLD,Q4-Q1,0.030079931000000004,-0.07345673864040414,Equal
2023-07-31,GOLD,1,-0.020222824,-0.18419992470397872,Equal
2023-07-31,GOLD,2,-0.0064215437,-0.05965501381914784,Equal
2023-07-31,GOLD,3,-0.0021153688,-0.05953058234228692,Equal
2023-07-31,GOLD,4,0.00037639588,-0.2276116341458314,Equal
2023-07-31,GOLD,Q4-Q1,0.020599219880000002,-0.043411709441852686,Equal
2023-08-31,GOLD,1,-0.02091894,-0.3530618419047995,Equal
2023-08-31,GOLD,2,-0.015373442,-0.10557779064134287,Equal
2023-08-31,GOLD,3,-0.014221225,-0.10501131306657996,Equal
2023-08-31,GOLD,4,0.026506182,-0.16225771743321715,Equal
2023-08-31,GOLD,Q4-Q1,0.047425122,0.19080412447158235,Equal
2023-10-31,GOLD,1,-0.07500406,0.0029544160246759432,Equal
2023-10-31,GOLD,2,-0.06265105,0.038276868501953665,Equal
2023-10-31,GOLD,3,-0.049914706,0.2064896149826465,Equal
2023-10-31,GOLD,4,-0.037379414,-0.0012326654182643892,Equal
2023-10-31,GOLD,Q4-Q1,0.037624646,-0.0041870814429403325,Equal
2023-11-30,GOLD,1,-0.06356931,0.060316437689792224,Equal
2023-11-30,GOLD,2,-0.062679335,-0.1259969197896611,Equal
2023-11-30,GOLD,3,-0.061671577,0.0986607511769515,Equal
2023-11-30,GOLD,4,-0.03336256,-0.01657511119021926,Equal
2023-11-30,GOLD,Q4-Q1,0.030206750000000004,-0.07689154888001148,Equal
2023-01-31,ENERGY,1,-0.16898823,0.28938980066502573,Equal
2023-01-31,ENERGY,2,-0.07473628,0.26525086392687314,Equal
2023-01-31,ENERGY,3,-0.07124174,0.30684662352842107,Equal
2023-01-31,ENERGY,4,-0.06555946,0.25354122498026666,Equal
2023-01-31,ENERGY,Q4-Q1,0.10342876999999999,-0.035848575684759076,Equal
2023-02-28,ENERGY,1,-0.06314632,0.08105516903572774,Equal
2023-02-28,ENERGY,2,-0.022408117,0.05706845762886914,Equal
2023-02-28,ENERGY,3,-0.011957461,0.06913077672575518,Equal
2023-02-28,ENERGY,4,0.050026335,0.06573242360922027,Equal
2023-02-28,ENERGY,Q4-Q1,0.11317265500000001,-0.015322745426507467,Equal
2023-03-31,ENERGY,1,0.20815994,0.22832177187127378,Equal
2023-03-31,ENERGY,2,0.23022212,-0.0260100607419238,Equal
2023-03-31,ENERGY,3,0.23265071,0.14740296254358753,Equal
2023-03-31,ENERGY,4,0.29935095,-0.03858327613240675,Equal
2023-03-31,ENERGY,Q4-Q1,0.09119101000000002,-0.26690504800368053,Equal
2023-05-31,ENERGY,1,-0.07486227,0.12385416331344778,Equal
2023-05-31,ENERGY,2,-0.014995297,0.062268119570874525,Equal
2023-05-31,ENERGY,3,0.020758295,0.026904856309948322,Equal
2023-05-31,ENERGY,4,0.08854164,0.10132817418714701,Equal
2023-05-31,ENERGY,Q4-Q1,0.16340390999999999,-0.02252598912630077,Equal
2023-06-30,ENERGY,1,-0.2638253,-0.03262545192941513,Equal
2023-06-30,ENERGY,2,-0.25461122,0.9280191058609892,Equal
2023-06-30,ENERGY,3,-0.13222405,0.04867308453049812,Equal
2023-06-30,ENERGY,4,-0.06770316,0.12212982317090226,Equal
2023-06-30,ENERGY,Q4-Q1,0.19612214,0.1547552751003174,Equal
2023-07-31,ENERGY,1,-0.048478916,-0.12162113890459647,Equal
2023-07-31,ENERGY,2,-0.04138623,-0.28957775923128004,Equal
2023-07-31,ENERGY,3,0.012331011,-0.12149670742773555,Equal
2023-07-31,ENERGY,4,0.013194246,-0.24616604978942735,Equal
2023-07-31,ENERGY,Q4-Q1,0.061673162,-0.12454491088483088,Equal
2023-08-31,ENERGY,1,0.19726796,-0.13913619475115802,Equal
2023-08-31,ENERGY,2,0.2234797,-0.13970267232592093,Equal
2023-08-31,ENERGY,3,0.2543771,-0.38718672358937756,Equal
2023-08-31,ENERGY,4,0.5063016,-0.1963825991177952,Equal
2023-08-31,ENERGY,Q4-Q1,0.30903364,-0.057246404366637194,Equal
2023-10-31,ENERGY,1,-0.16036312,0.10309250645423784,Equal
2023-10-31,ENERGY,2,-0.15949912,0.09890542501129751,Equal
2023-10-31,ENERGY,3,0.023589568,0.13841495893151556,Equal
2023-10-31,ENERGY,4,0.0751996,0.3066277054122084,Equal
2023-10-31,ENERGY,Q4-Q1,0.23556272,0.20353519895797056,Equal
2023-11-30,ENERGY,1,-0.14817154,-0.08941704426812791,Equal
2023-11-30,ENERGY,2,-0.068883695,0.09689631321132541,Equal
2023-11-30,ENERGY,3,-0.01708979,0.1352406266984847,Equal
2023-11-30,ENERGY,4,0.06224134,0.02000476433131393,Equal
2023-11-30,ENERGY,Q4-Q1,0.21041288,0.10942180859944184,Equal
